census_tract,county,location,population,PollutionScore,pm25,diesel_pm,traffic_density,ozone,asthma,cardiovascular_disease,diabetes,low_birth_weight
6023011100,Humboldt,Scotia,4790,4.189936336,7.707156275,0.003868925,194.381,0.02814261,46.96,22.61,11.8,7.24
6023011200,Humboldt,Ferndale,3647,4.032464844,7.887775483,0.006682112,48.348,0.028885227,40.31,18.32,11.6,2.7
6023011501,Humboldt,Garberville,2019,2.977373831,7.296955334,0.002311455,192.273,0.031360499,84.73,29.49,13.5,5.0
6023011502,Humboldt,Garberville,1367,2.300359682,7.34403927,0.001603731,65.9,0.030672447,59.35,22.26,14.3,6.45
6023011600,Humboldt,Garberville,3688,3.161293717,7.312728247,0.001507862,146.645,0.033016399,46.94,18.34,13.7,3.78
6023940000,Humboldt,Hoopa,2287,3.188328415,7.102728207,0.02938555,64.171,0.032692401,25.92,19.69,16.0,3.79
6025010102,Imperial,Calipatria,5175,5.806027763,8.939906613,0.040718469,69.321,0.039319484,34.96,14.65,18.4,6.18
6025010200,Imperial,Westmorland,2218,5.703132651,8.951414219,0.024213369,238.23,0.042392302,100.5,24.2,20.3,6.79
6025010300,Imperial,Brawley,856,5.937995249,8.710584019,0.029880987,132.596,0.043875111,64.85,22.65,13.2,5.56
6025010401,Imperial,Brawley,2453,6.026110699,8.780762037,0.131539494,246.525,0.043875111,68.78,23.12,19.6,5.51
6025010402,Imperial,Brawley,4856,5.969421358,8.705714544,0.158982515,198.783,0.044077853,68.78,23.12,19.5,5.42
6025010500,Imperial,Brawley,7104,6.23212394,8.847860018,0.109660642,259.686,0.044077853,68.78,23.12,14.0,5.08
6025010600,Imperial,Brawley,7779,6.527850886,8.773008943,0.142169679,237.21,0.045059062,68.78,23.12,12.9,5.43
6025010700,Imperial,Brawley,4783,5.577441228,8.728427092,0.115870794,156.323,0.044867075,68.78,23.12,19.6,5.11
6025010800,Imperial,Holtville,1332,5.702295394,8.688204053,0.036692076,134.737,0.04864293,35.49,23.7,15.8,6.32
6025010900,Imperial,Holtville,6490,5.313174715,8.75706538,0.069740797,65.15,0.04923735,34.84,23.84,17.6,4.54
6025011001,Imperial,Imperial,6072,6.174145629,8.798469349,0.042674472,125.614,0.04894338,34.4,19.9,11.8,2.67
6025011002,Imperial,Imperial,11218,6.088842366,8.823287877,0.07461267,196.825,0.050483698,34.04,19.81,12.5,5.13
6025011100,Imperial,El Centro,3600,7.032788424,9.09470664,0.109035696,217.951,0.051732393,44.64,22.42,16.2,4.42
6025011201,Imperial,Imperial,7932,5.814411849,8.891440233,0.227250618,249.071,0.051493425,38.49,20.91,12.5,4.9
6025011202,Imperial,El Centro,6193,5.83771124,8.7701478,0.43998549,485.673,0.052081217,45.99,22.76,18.5,5.53
6025011301,Imperial,Heber,3804,5.856452053,8.931878567,0.240622059,95.775,0.052957513,31.58,23.42,18.6,3.93
6025011302,Imperial,El Centro,1525,6.669309702,8.929355571,0.24273742,518.956,0.052194979,45.41,22.79,20.9,3.09
6025011303,Imperial,El Centro,4614,6.391192737,8.750129806,0.106558879,304.409,0.051371972,36.48,23.1,12.6,5.44
6025011400,Imperial,El Centro,4139,6.901385843,8.770427386,0.266099885,262.866,0.052081217,45.99,22.76,17.2,7.17
6025011500,Imperial,El Centro,5927,6.471439228,8.729635874,0.383766881,488.324,0.052194979,45.99,22.76,20.8,4.58
6025011600,Imperial,El Centro,5837,5.48514729,8.670016289,0.346615867,392.893,0.052528917,45.99,22.76,15.4,4.97
6025011700,Imperial,El Centro,4526,5.67597609,8.782787323,0.412279034,649.575,0.052637825,45.99,22.76,15.9,3.65
6025011801,Imperial,El Centro,3686,4.96776971,8.851296902,0.302303349,340.87,0.052637825,45.99,22.76,13.9,4.17
6025011802,Imperial,El Centro,4590,5.66336733,8.79417038,0.368879471,449.004,0.052745551,45.99,22.76,14.4,5.41
6025011803,Imperial,El Centro,7744,5.124208391,8.915819645,0.142476604,407.628,0.052957513,45.77,22.77,13.9,4.75
6025011901,Imperial,Calexico,2060,6.815351565,9.018338609,0.130616813,112.349,0.053266914,28.62,26.76,15.9,4.26
6025011902,Imperial,Calexico,3032,4.528280921,9.262335777,0.51341615,165.782,0.052957513,27.78,27.94,19.6,5.17
6025011903,Imperial,Holtville,6053,5.760342832,8.922064534,0.170825529,222.547,0.051371972,28.87,27.29,10.6,4.27
6025012001,Imperial,Calexico,4336,5.276524071,9.299931526,1.268298192,239.31,0.053061773,27.78,27.94,22.4,4.56
6025012003,Imperial,Calexico,4220,6.068986925,9.32872963,0.760678723,248.949,0.052957513,27.78,27.94,15.7,2.95
6025012004,Imperial,Calexico,4475,6.019696095,9.329965973,0.862365251,235.353,0.052957513,27.78,27.94,15.1,5.53
